"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoW]"   ,    "rms[RhoE]"   
          0,           0,           0,      -5.204927974,      -5.218571093,      -6.418470115,      -6.101420299,      -4.597761973
          0,           0,           1,       -4.90234602,      -4.679666873,      -4.933840997,      -4.765106688,      -4.275510962
          0,           0,           2,      -4.811531238,      -4.655027964,      -4.679990034,      -4.548212092,      -4.203678069
          0,           0,           3,      -4.725562551,      -4.593348467,      -4.586841761,      -4.375543129,      -4.111988451
          0,           0,           4,      -4.723851471,       -4.59064096,      -4.540606902,      -4.308956341,      -4.110831579
          0,           0,           5,      -4.722168552,      -4.638650856,       -4.50603023,      -4.302220573,      -4.111672555
          0,           0,           6,      -4.722216648,      -4.731440837,      -4.511578558,      -4.328076685,      -4.129690097
          0,           0,           7,      -4.701904211,      -4.735986875,      -4.541083627,      -4.366836247,       -4.10003892
          0,           0,           8,      -4.724768964,      -4.686276653,      -4.585794671,      -4.404376204,      -4.096879302
          0,           0,           9,      -4.769984728,      -4.729190005,      -4.636871511,       -4.44497113,      -4.151887301
          0,           0,          10,      -4.817381733,      -4.820821576,      -4.713499358,      -4.510269693,      -4.212487121
          0,           0,          11,      -4.886380009,      -4.936356906,      -4.806159458,      -4.593230439,      -4.281113036
          0,           0,          12,      -4.945275798,      -5.012376165,      -4.882974895,      -4.666237734,       -4.34615824
          0,           0,          13,      -5.001903755,      -5.049238126,      -4.967304558,      -4.747782314,      -4.393182423
          0,           0,          14,      -5.071995689,      -5.074768358,      -5.064911898,      -4.839142683,      -4.448236707
          0,           0,          15,      -5.131994814,      -5.122781003,      -5.153131717,      -4.923424915,      -4.516161628
          0,           0,          16,      -5.206090842,      -5.203398426,      -5.254644469,      -5.022197839,      -4.594578907
          0,           0,          17,      -5.306746321,      -5.313989372,      -5.358273534,      -5.128016929,      -4.690322411
          0,           0,          18,      -5.408404092,      -5.435252913,      -5.465212542,      -5.242918813,      -4.787523399
          0,           0,          19,      -5.481091846,      -5.526508235,      -5.553057655,      -5.345780242,      -4.870882728
          0,           0,          20,       -5.55728589,      -5.615625461,      -5.658861167,      -5.468656928,       -4.95087047
          0,           0,          21,      -5.662344058,      -5.710839033,      -5.777522559,      -5.597559859,      -5.049409545
          0,           0,          22,      -5.791123753,       -5.81647572,      -5.903066116,      -5.717774944,      -5.170095167
          0,           0,          23,       -5.89720773,      -5.900227165,      -6.002664258,      -5.807301412,      -5.282475526
          0,           0,          24,        -5.9966645,      -5.978007293,       -6.11481587,      -5.911377248,       -5.38478398
          0,           0,          25,      -6.092147072,      -6.050239532,      -6.232270771,      -6.034388198,      -5.475563436
          0,           0,          26,      -6.192263031,      -6.132485223,      -6.353734008,      -6.173147706,      -5.570494571
          0,           0,          27,      -6.283529016,      -6.214950816,      -6.450685315,      -6.288809411,      -5.668494642
          0,           0,          28,       -6.39177129,      -6.318547465,      -6.566301217,      -6.403514715,      -5.779786184
          0,           0,          29,      -6.514860352,      -6.434460428,      -6.689558992,      -6.508023139,      -5.899533957
          0,           0,          30,      -6.641013811,       -6.55517239,      -6.806803643,      -6.605318558,       -6.02076723
          0,           0,          31,       -6.74137102,      -6.655972818,      -6.891940913,      -6.685946677,      -6.128500732
          0,           0,          32,      -6.836303977,      -6.759813743,      -6.977033365,      -6.774664033,      -6.227386909
          0,           0,          33,      -6.931239357,      -6.858722654,      -7.053829652,      -6.861347929,      -6.319145507
          0,           0,          34,      -7.025178036,      -6.952158784,      -7.119667927,       -6.93517348,      -6.410111791
          0,           0,          35,      -7.117824419,      -7.043808565,      -7.177779862,      -6.995521726,      -6.501369965
          0,           0,          36,      -7.209957949,      -7.135440266,      -7.230161315,      -7.047296622,      -6.592678431
          0,           0,          37,       -7.30215326,      -7.228361918,      -7.279531351,      -7.094136842,      -6.682246579
          0,           0,          38,      -7.383329885,      -7.311793786,      -7.325979552,      -7.141070828,      -6.769875164
          0,           0,          39,      -7.460412626,      -7.399535316,      -7.381109187,      -7.194374933,      -6.849493346
          0,           0,          40,      -7.537144767,      -7.484675535,       -7.43524672,      -7.246247031,      -6.922342785
          0,           0,          41,      -7.606860002,       -7.55972464,      -7.481612513,      -7.292577083,      -6.996098971
          0,           0,          42,      -7.675540534,      -7.638955366,      -7.531343813,      -7.342076112,      -7.064271892
          0,           0,          43,       -7.74668615,       -7.71565849,      -7.577498127,       -7.38989942,      -7.130229794
          0,           0,          44,      -7.810425984,      -7.780972188,       -7.61905299,      -7.435086989,      -7.197326358
          0,           0,          45,      -7.876233937,      -7.850474998,      -7.667825467,       -7.48616546,      -7.262574616
          0,           0,          46,       -7.94548456,      -7.915866025,      -7.719220842,      -7.539040183,      -7.327568114
          0,           0,          47,      -8.012535292,       -7.97716944,       -7.77345537,      -7.593080256,      -7.392024625
          0,           0,          48,      -8.077692918,      -8.038604505,      -7.831665658,      -7.649466934,      -7.456017947
          0,           0,          49,      -8.145253871,      -8.102747712,      -7.894566115,      -7.708621277,      -7.521135673
          0,           0,          50,      -8.205196424,      -8.166918797,      -7.952661507,       -7.76708049,      -7.587678005
          0,           0,          51,       -8.27361982,      -8.240384179,      -8.022482068,      -7.836327085,      -7.656890744
          0,           0,          52,       -8.34721609,      -8.313056761,      -8.098548219,      -7.909819604,      -7.726869475
          0,           0,          53,      -8.423811859,      -8.387614697,      -8.174895149,       -7.98170136,      -7.799308724
          0,           0,          54,      -8.494359443,      -8.462613577,      -8.240339872,       -8.04582887,      -7.875129459
          0,           0,          55,      -8.571395004,      -8.542864939,       -8.31390893,       -8.11819828,       -7.95222278
          0,           0,          56,      -8.647679147,       -8.61633706,      -8.390405558,      -8.194482076,      -8.024801635
          0,           0,          57,      -8.722739085,      -8.683714783,       -8.46627388,      -8.269185862,      -8.095880025
          0,           0,          58,      -8.789403067,       -8.74774861,      -8.530972337,      -8.334425421,      -8.167917966
          0,           0,          59,      -8.859375057,      -8.815597382,      -8.603883221,      -8.407241477,      -8.238493465
          0,           0,          60,      -8.928220429,      -8.880086102,      -8.679067283,      -8.483719324,      -8.304425795
          0,           0,          61,      -8.996254239,      -8.942059856,      -8.754178049,      -8.559376744,      -8.368934143
          0,           0,          62,      -9.059490517,      -9.006014814,      -8.818263176,      -8.626149763,      -8.437679639
          0,           0,          63,      -9.128142489,      -9.075712197,      -8.890861413,      -8.700226299,      -8.506350968
          0,           0,          64,      -9.200589954,      -9.147410296,      -8.966366137,      -8.777761867,      -8.575101739
          0,           0,          65,      -9.275364753,      -9.221147506,      -9.044036184,      -8.856380348,      -8.645508072
          0,           0,          66,      -9.343027993,      -9.294956837,      -9.111093291,      -8.926918178,      -8.720048982
          0,           0,          67,      -9.415009395,      -9.372479102,      -9.189671169,      -9.006266734,      -8.792193475
          0,           0,          68,      -9.490670571,      -9.448779188,      -9.274625647,      -9.090029319,      -8.863655045
          0,           0,          69,      -9.566572662,      -9.526124613,      -9.360862038,      -9.174101057,      -8.935115819
          0,           0,          70,      -9.629627638,      -9.599151076,      -9.432559604,       -9.24629634,      -9.007106758
          0,           0,          71,      -9.696949105,      -9.675845121,      -9.512939713,      -9.325120846,      -9.075563531
          0,           0,          72,      -9.770072526,      -9.751846184,      -9.594745007,      -9.405703866,      -9.144422848
          0,           0,          73,      -9.845980234,      -9.828057634,      -9.672309087,      -9.482108871,      -9.215939241
          0,           0,          74,      -9.913076336,      -9.900818935,       -9.73636442,      -9.547476751,      -9.290791864
          0,           0,          75,      -9.987254358,       -9.97893835,      -9.805058817,      -9.616520523,      -9.365370924
          0,           0,          76,      -10.06772129,      -10.05594304,      -9.869999441,      -9.683459145,      -9.441586398
          0,           0,          77,      -10.13958296,      -10.12805305,       -9.92411283,      -9.742163556,      -9.518892643
          0,           0,          78,      -10.21660165,      -10.20219487,      -9.981409949,      -9.801926507,      -9.594928398
          0,           0,          79,      -10.29310662,      -10.26925099,      -10.03331342,      -9.855286118,      -9.667059377
          0,           0,          80,      -10.35411383,      -10.33012202,      -10.07797972,      -9.902074278,      -9.735026164
          0,           0,          81,      -10.41774073,        -10.392829,      -10.12427115,      -9.948525007,      -9.798000431
          0,           0,          82,      -10.47671199,      -10.44584547,      -10.16411253,      -9.988139008,      -9.852634458
          0,           0,          83,      -10.52000799,      -10.49504925,      -10.20015036,      -10.02482705,      -9.903921799
          0,           0,          84,      -10.57192579,      -10.55120411,      -10.24075851,      -10.06406093,      -9.954926509
          0,           0,          85,       -10.6214281,      -10.59772173,      -10.27863512,      -10.10085271,      -9.999259518
          0,           0,          86,      -10.65996487,      -10.64358749,      -10.31529347,      -10.13780974,      -10.04533387
          0,           0,          87,      -10.70925616,      -10.69597177,      -10.35932989,      -10.17955791,      -10.09325101
          0,           0,          88,      -10.75772584,      -10.73756671,      -10.40330416,      -10.22126238,      -10.13648273
          0,           0,          89,      -10.79599701,      -10.78031445,      -10.44527504,      -10.26294659,       -10.1820834
          0,           0,          90,      -10.84453236,      -10.82729351,      -10.49602161,      -10.31120674,       -10.2292351
          0,           0,          91,      -10.89193937,      -10.86379632,      -10.54903069,      -10.36168332,      -10.27135976
          0,           0,          92,      -10.92932848,      -10.90473319,      -10.59837913,       -10.4106712,      -10.31654859
          0,           0,          93,      -10.97392859,      -10.94517383,      -10.65678255,      -10.46667915,      -10.35925508
          0,           0,          94,       -11.0213577,      -10.98202105,      -10.71908389,       -10.5258456,      -10.40090291
          0,           0,          95,      -11.06100524,      -11.02772177,       -10.7755191,      -10.58196861,      -10.44877214
          0,           0,          96,      -11.10784463,      -11.07647427,      -10.84291595,       -10.6475153,      -10.49337852
          0,           0,          97,      -11.16096972,      -11.12593667,      -10.91760903,      -10.71936977,       -10.5395871
          0,           0,          98,       -11.2072212,      -11.18087421,      -10.98426982,      -10.78591958,       -10.5941386
          0,           0,          99,       -11.2612303,       -11.2411188,      -11.06369825,      -10.86324799,      -10.64581647
          0,           0,         100,      -11.32499807,      -11.30499465,       -11.1507827,       -10.9478754,      -10.70198905
          0,           0,         101,      -11.39388684,      -11.37409186,      -11.24213592,      -11.03738039,      -10.76443845
          0,           0,         102,      -11.45099579,      -11.44073519,      -11.31758672,      -11.11610639,      -10.83253571
          0,           0,         103,      -11.51653944,      -11.51199817,      -11.40412285,      -11.20544311,      -10.89730629
          0,           0,         104,      -11.59171728,       -11.5840839,      -11.49268175,      -11.30093524,      -10.96557693
          0,           0,         105,      -11.65314552,      -11.64686392,      -11.55481716,      -11.38462149,      -11.03539895
          0,           0,         106,      -11.71600293,      -11.70318672,       -11.5991798,       -11.4752504,      -11.09688511
          0,           0,         107,      -11.76315483,      -11.72940147,      -11.57299211,      -11.56426425,      -11.13948706
          0,           0,         108,      -11.77821119,      -11.72732119,      -11.47097228,      -11.63390935,      -11.16394235
          0,           0,         109,      -11.80524417,      -11.73130317,      -11.44840307,      -11.70639464,      -11.19305701
          0,           0,         110,      -11.80628073,      -11.73251141,       -11.4597512,      -11.77582582,      -11.19439015
          0,           0,         111,      -11.80747421,      -11.74403935,      -11.45195105,      -11.82952754,      -11.20275151
          0,           0,         112,      -11.80820523,      -11.75305456,      -11.46926588,      -11.87794016,      -11.20166249
          0,           0,         113,      -11.79659018,      -11.74331236,      -11.47828569,      -11.89704008,      -11.18777145
          0,           0,         114,      -11.78363932,      -11.73263707,      -11.46125866,      -11.86465056,      -11.17874474
          0,           0,         115,      -11.79460555,      -11.74246478,      -11.47389099,      -11.89580233,      -11.18874194
          0,           0,         116,      -11.80824381,      -11.75703291,      -11.47551561,      -11.92229994,      -11.20111921
          0,           0,         117,      -11.81012556,      -11.75954977,      -11.48211734,      -11.94640645,      -11.20197038
          0,           0,         118,      -11.80872457,      -11.75939389,       -11.4660858,      -11.94243319,      -11.20359134
          0,           0,         119,      -11.81979229,      -11.76932889,      -11.47816761,      -11.94782881,       -11.2132996
          0,           0,         120,      -11.80907963,      -11.75635084,      -11.48030556,      -11.99609547,      -11.20222216
          0,           0,         121,      -11.81775737,       -11.7638114,      -11.48715914,       -12.0404022,      -11.21003728
          0,           0,         122,      -11.82790396,      -11.77510337,      -11.47119762,      -12.07929333,      -11.22271213
          0,           0,         123,      -11.82981368,      -11.77545422,       -11.4840824,      -12.10918457,      -11.22326576
          0,           0,         124,       -11.8229088,      -11.76874443,      -11.49174005,      -12.19609658,      -11.21572365
          0,           0,         125,      -11.83342374,      -11.78135071,       -11.4745935,      -12.24765996,      -11.22839588
          0,           0,         126,      -11.84162831,      -11.78887717,      -11.48689008,      -12.31074121,      -11.23517537
          0,           0,         127,       -11.8282423,      -11.77321467,      -11.49361328,      -12.31283683,      -11.22112507
          0,           0,         128,      -11.81325908,      -11.75656189,       -11.4748571,      -12.15463697,      -11.20801915
          0,           0,         129,      -11.82280802,      -11.76690477,      -11.48733464,      -12.32094363,      -11.21690272
          0,           0,         130,      -11.83246755,      -11.77823193,       -11.4881291,      -12.42390242,      -11.22571902
          0,           0,         131,      -11.82877994,      -11.77475082,      -11.49358492,      -12.42705387,      -11.22162855
          0,           0,         132,      -11.82365995,      -11.76925614,      -11.47553691,      -12.26866791,      -11.21851082
          0,           0,         133,      -11.83124357,       -11.7786025,      -11.48775467,      -12.44907186,      -11.22505696
          0,           0,         134,      -11.83103627,      -11.77830596,      -11.49425547,      -12.51465968,      -11.22396858
          0,           0,         135,      -11.82700692,       -11.7745047,      -11.49285299,      -12.46688684,      -11.22008994
          0,           0,         136,      -11.82834064,      -11.77598009,        -11.475027,      -12.33150289,      -11.22343247
          0,           0,         137,       -11.8378555,       -11.7847958,      -11.48718663,      -12.31540143,       -11.2315562
          0,           0,         138,      -11.82703265,      -11.77307656,      -11.49380884,      -12.32492787,      -11.22006801
          0,           0,         139,      -11.82236174,      -11.77072927,      -11.47610345,      -12.44222008,       -11.2174792
          0,           0,         140,      -11.83893764,       -11.7873366,      -11.48786328,      -12.50197556,      -11.23255764
          0,           0,         141,       -11.8326867,      -11.77978129,       -11.4942823,      -12.48881271,      -11.22565459
          0,           0,         142,       -11.8337967,      -11.78163456,      -11.47617263,      -12.39022131,      -11.22884318
          0,           0,         143,      -11.81888518,       -11.7618483,      -11.48691676,      -12.19265637,      -11.21249675
          0,           0,         144,      -11.81427724,      -11.75828001,      -11.49407308,      -12.38572794,      -11.20774265
          0,           0,         145,      -11.83046062,      -11.77782418,       -11.4761717,      -12.46320941,      -11.22563767
          0,           0,         146,      -11.84056604,      -11.78854997,      -11.48796362,      -12.47862663,      -11.23427552
          0,           0,         147,      -11.81946761,      -11.76388691,      -11.49399861,      -12.29488819,      -11.21246726
          0,           0,         148,      -11.82619454,      -11.77453878,      -11.47624039,      -12.44561488,      -11.22143469
          0,           0,         149,      -11.84150786,      -11.79042496,      -11.48805937,      -12.55549701,      -11.23513649
          0,           0,         150,      -11.83363797,      -11.78119247,      -11.49439465,      -12.51302029,      -11.22668787
          0,           0,         151,      -11.83028523,      -11.77771179,      -11.47609626,      -12.34523307,      -11.22531571
          0,           0,         152,      -11.83846729,      -11.78504264,      -11.48765099,       -12.3139251,      -11.23217407
          0,           0,         153,      -11.80672435,      -11.74852402,      -11.49269984,      -12.13423718,      -11.19970621
          0,           0,         154,      -11.80734466,      -11.75203888,      -11.47554789,      -12.28568987,      -11.20282041
          0,           0,         155,      -11.83237231,      -11.77886612,      -11.48751763,      -12.39029111,      -11.22605443
          0,           0,         156,      -11.82702196,       -11.7729115,      -11.49399845,      -12.38722796,      -11.22002559
          0,           0,         157,      -11.81354315,      -11.75760928,      -11.47534667,      -12.18266466,      -11.20843917
          0,           0,         158,      -11.82128751,      -11.76788532,      -11.48765367,      -12.38504228,      -11.21530166
          0,           0,         159,      -11.83316046,      -11.78008687,       -11.4882858,      -12.48062327,       -11.2263021
          0,           0,         160,      -11.82917125,        -11.775945,      -11.49368734,      -12.44456412,        -11.222041
          0,           0,         161,      -11.82267093,      -11.76835724,       -11.4756089,      -12.26197635,       -11.2175388
          0,           0,         162,      -11.83014681,      -11.77778817,      -11.48780162,      -12.45678683,      -11.22397294
          0,           0,         163,      -11.83685402,      -11.78456854,      -11.48838033,      -12.52166894,      -11.22998049
          0,           0,         164,      -11.83179338,      -11.77912962,       -11.4936547,      -12.46202787,       -11.2246737
          0,           0,         165,      -11.82988383,      -11.77705036,      -11.47568846,      -12.32164214,      -11.22479002
          0,           0,         166,      -11.81296272,      -11.75470438,      -11.48623545,      -12.12434884,      -11.20642451
          0,           0,         167,      -11.80610551,      -11.74894925,      -11.49373352,      -12.31900453,      -11.19963511
          0,           0,         168,      -11.82655682,      -11.77285527,      -11.47593877,      -12.40253595,      -11.22168109
          0,           0,         169,      -11.83676645,      -11.78406588,       -11.4877552,      -12.40861436,      -11.23046274
          0,           0,         170,      -11.80823509,      -11.75005143,       -11.4935225,      -12.19399601,      -11.20118447
          0,           0,         171,      -11.81551032,      -11.76218725,      -11.47602807,      -12.37196135,      -11.21084575
          0,           0,         172,       -11.8366938,         -11.78473,      -11.48792895,      -12.50563461,      -11.23029782
          0,           0,         173,      -11.83065836,      -11.77745799,      -11.49431936,      -12.46378977,      -11.22367606
          0,           0,         174,      -11.82226949,      -11.76788306,      -11.47588317,      -12.26472418,      -11.21722122
          0,           0,         175,       -11.8296942,      -11.77729294,      -11.48794352,       -12.4632608,      -11.22353975
          0,           0,         176,      -11.83064394,      -11.77827524,      -11.49432436,      -12.51788537,      -11.22362301
          0,           0,         177,      -11.82662318,      -11.77456863,      -11.49283376,       -12.4519156,      -11.21975474
          0,           0,         178,      -11.82706209,      -11.77451742,      -11.47491408,      -12.30423563,      -11.22216427
          0,           0,         179,      -11.83686413,       -11.7834838,      -11.48703771,      -12.28673503,      -11.23058634
          0,           0,         180,      -11.82580143,       -11.7713705,      -11.49372997,      -12.29316097,      -11.21886707
          0,           0,         181,      -11.82957296,      -11.77730849,      -11.47574458,      -12.27892246,      -11.22460496
          0,           0,         182,      -11.82315031,       -11.7710688,      -11.48769963,      -12.42047581,      -11.21694782
          0,           0,         183,      -11.82717045,      -11.77399185,      -11.49400011,      -12.44735109,      -11.22006866
          0,           0,         184,      -11.82529224,      -11.77251072,      -11.49268186,      -12.42498847,      -11.21831157
          0,           0,         185,       -11.8302482,      -11.77817036,      -11.47498778,      -12.34172218,      -11.22542698
          0,           0,         186,      -11.81501637,      -11.75786103,      -11.48618124,      -12.15751717,      -11.20867723
          0,           0,         187,      -11.81086298,      -11.75486731,      -11.49377623,       -12.3587716,      -11.20427738
          0,           0,         188,      -11.82874407,      -11.77620199,      -11.47603943,      -12.44239701,      -11.22382154
